timestamp,host_cpu_usage,hostname
2025-02-08 17:00:00,53.51092734891916,hfx05wld01gld35
2025-02-08 17:05:00,56.45231810442873,hfx05wld01gld35
2025-02-08 17:10:00,58.77142065727647,hfx05wld01gld35
2025-02-08 17:15:00,60.33904899249567,hfx05wld01gld35
2025-02-08 17:20:00,61.14844267132663,hfx05wld01gld35
2025-02-08 17:25:00,61.29995780928439,hfx05wld01gld35
2025-02-08 17:30:00,60.966932519034586,hfx05wld01gld35
2025-02-08 17:35:00,60.35195936101836,hfx05wld01gld35
2025-02-08 17:40:00,59.64404216377415,hfx05wld01gld35
2025-02-08 17:45:00,58.98581710874694,hfx05wld01gld35
2025-02-08 17:50:00,58.45667937386372,hfx05wld01gld35
2025-02-08 17:55:00,58.07324668070684,hfx05wld01gld35
2025-02-08 18:00:00,57.80427874771081,hfx05wld01gld35
2025-02-08 18:05:00,57.5940186722885,hfx05wld01gld35
2025-02-08 18:10:00,57.3866200916578,hfx05wld01gld35
2025-02-08 18:15:00,57.14503972590237,hfx05wld01gld35
2025-02-08 18:20:00,56.86014135159339,hfx05wld01gld35
2025-02-08 18:25:00,56.549002629646544,hfx05wld01gld35
2025-02-08 18:30:00,56.24459329526209,hfx05wld01gld35
2025-02-08 18:35:00,55.981242481221656,hfx05wld01gld35
2025-02-08 18:40:00,55.7810882627109,hfx05wld01gld35
2025-02-08 18:45:00,55.645900755018,hfx05wld01gld35
2025-02-08 18:50:00,55.55663401717602,hfx05wld01gld35
2025-02-08 18:55:00,55.4804611366985,hfx05wld01gld35
2025-02-08 19:00:00,55.38267396592483,hfx05wld01gld35
2025-02-08 19:05:00,55.23937133981077,hfx05wld01gld35
2025-02-08 19:10:00,55.046709122144044,hfx05wld01gld35
2025-02-08 19:15:00,54.823638754353944,hfx05wld01gld35
2025-02-08 19:20:00,54.60713455120202,hfx05wld01gld35
2025-02-08 19:25:00,54.44126215556434,hfx05wld01gld35
2025-02-08 19:30:00,54.36336355212178,hfx05wld01gld35
2025-02-08 19:35:00,54.39155984388449,hfx05wld01gld35
2025-02-08 19:40:00,54.51743480499291,hfx05wld01gld35
2025-02-08 19:45:00,54.70626659591202,hfx05wld01gld35
2025-02-08 19:50:00,54.9049659984975,hfx05wld01gld35
2025-02-08 19:55:00,55.05560656180007,hfx05wld01gld35
2025-02-08 20:00:00,55.110760663173735,hfx05wld01gld35
2025-02-08 20:05:00,55.0462750679077,hfx05wld01gld35
2025-02-08 20:10:00,54.86780305246363,hfx05wld01gld35
2025-02-08 20:15:00,54.609165106854256,hfx05wld01gld35
2025-02-08 20:20:00,54.32293465991332,hfx05wld01gld35
2025-02-08 20:25:00,54.06587183103958,hfx05wld01gld35
2025-02-08 20:30:00,53.88331549642103,hfx05wld01gld35
2025-02-08 20:35:00,53.796960407509786,hfx05wld01gld35
2025-02-08 20:40:00,53.79949424673443,hfx05wld01gld35
2025-02-08 20:45:00,53.857615195627226,hfx05wld01gld35
2025-02-08 20:50:00,53.922548695978286,hfx05wld01gld35
2025-02-08 20:55:00,53.945019490438206,hfx05wld01gld35
2025-02-08 21:00:00,53.89033513020012,hfx05wld01gld35
2025-02-08 21:05:00,53.74918114008096,hfx05wld01gld35
2025-02-08 21:10:00,53.54094387378492,hfx05wld01gld35
2025-02-08 21:15:00,53.30852799564999,hfx05wld01gld35
2025-02-08 21:20:00,53.106112261120735,hfx05wld01gld35
2025-02-08 21:25:00,52.983378969940084,hfx05wld01gld35
2025-02-08 21:30:00,52.970848414000024,hfx05wld01gld35
2025-02-08 21:35:00,53.070715232670615,hfx05wld01gld35
2025-02-08 21:40:00,53.256060354501194,hfx05wld01gld35
2025-02-08 21:45:00,53.47891255006901,hfx05wld01gld35
